Time,HMD_Position_x,HMD_Position_y,HMD_Position_z,HMD_Rotation_x,HMD_Rotation_y,HMD_Rotation_z,HMD_Rotation_w,Left_Position_x,Left_Position_y,Left_Position_z,Right_Position_x,Right_Position_y,Right_Position_z,Left_Gaze_Origin.x,Left_Gaze_Origin.y,Left_Gaze_Origin.z,Right_Gaze_Origin.x,Right_Gaze_Origin.y,Right_Gaze_Origin.z,Left_Gaze_Direction_x,Left_Gaze_Direction_y,Left_Gaze_Direction_z,Right_Gaze_Direction_x,Right_Gaze_Direction_y,Right_Gaze_Direction_z,Left_Pupil_Diameter,Right_Pupil_Diameter,Left_Openness,Right_Openness,ArtificialBlink_Flag,RBlinkCount,LBlinkCount,BrowerFlag
0,1022731,0,0,1000051,3,84,-0,09889693,-0,2535454,0,0165743,0,962112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,False
0,2045462,0,0,1000051,3,84,-0,09889693,-0,2535454,0,0165743,0,962112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,False
0,2245462,0,0,1000051,3,84,-0,09889693,-0,2535454,0,0165743,0,962112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,False
0,3256359,0,0,1000051,3,84,-0,09889693,-0,2535454,0,0165743,0,962112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,False
0,4267669,0,0,1000051,3,84,-0,09889693,-0,2535454,0,0165743,0,962112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,False
0,5277095,0,0,1000051,3,84,-0,09889693,-0,2535454,0,0165743,0,962112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,False
0,6285594,0,0,1000051,3,84,-0,09889693,-0,2535454,0,0165743,0,962112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,False
0,7294365,0,0,1000051,3,84,-0,09889693,-0,2535454,0,0165743,0,962112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,False
0,8306871,0,0,1000051,3,84,-0,09889693,-0,2535454,0,0165743,0,962112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,False
0,9318822,0,0,1000051,3,84,-0,09889693,-0,2535454,0,0165743,0,962112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,False
1,032999,0,0,100005,3,84,-0,09889693,-0,2535454,0,0165743,0,962112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,False
1,133971,0,0,100005,3,84,-0,09889693,-0,2535454,0,0165743,0,962112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,False
1,235784,0,0,100005,3,84,-0,09889693,-0,2535454,0,0165743,0,962112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,False
1,337841,0,0,100005,3,84,-0,09889693,-0,2535454,0,0165743,0,962112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,False
1,438933,0,0,100005,3,84,-0,09889693,-0,2535454,0,0165743,0,962112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,False
1,539852,0,0,100005,3,84,-0,09889693,-0,2535454,0,0165743,0,962112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,False
